CMDLINE /home/shiftpub/miniconda3/envs/amm-env/bin/python3.9 inf_step_exp/dp_approach/full_vec_grid.py
MEM 3178.476562 1750256313.0409
MEM 3848.476562 1750256313.1412
MEM 4516.476562 1750256313.2416
MEM 5188.476562 1750256313.3419
MEM 5856.476562 1750256313.4423
MEM 6518.476562 1750256313.5426
MEM 7186.476562 1750256313.6429
MEM 7856.476562 1750256313.7432
MEM 8526.476562 1750256313.8436
MEM 9196.476562 1750256313.9439
MEM 9868.476562 1750256314.0443
MEM 10536.476562 1750256314.1446
MEM 11198.476562 1750256314.2450
MEM 11868.476562 1750256314.3453
MEM 12538.476562 1750256314.4457
MEM 13200.476562 1750256314.5459
MEM 13866.476562 1750256314.6462
MEM 14558.304688 1750256314.7466
MEM 15338.304688 1750256314.8470
MEM 16118.304688 1750256314.9473
MEM 16898.304688 1750256315.0477
MEM 17678.304688 1750256315.1480
MEM 18458.304688 1750256315.2484
MEM 19238.304688 1750256315.3487
MEM 20018.304688 1750256315.4491
MEM 20794.304688 1750256315.5495
MEM 21574.304688 1750256315.6499
MEM 22352.304688 1750256315.7502
MEM 23130.304688 1750256315.8506
MEM 23912.304688 1750256315.9509
MEM 24688.304688 1750256316.0512
MEM 25466.304688 1750256316.1516
MEM 26248.304688 1750256316.2520
MEM 27028.304688 1750256316.3523
MEM 27806.304688 1750256316.4526
MEM 14366.253906 1750256316.5530
MEM 14372.253906 1750256316.6532
MEM 14380.253906 1750256316.7535
MEM 14388.253906 1750256316.8538
MEM 14394.253906 1750256316.9541
MEM 14402.253906 1750256317.0542
MEM 674.007812 1750256317.1545
MEM 674.007812 1750256317.2547
MEM 670.007812 1750256317.3551
MEM 650.007812 1750256317.4554
MEM 674.007812 1750256317.5557
MEM 644.007812 1750256317.6560
MEM 648.007812 1750256317.7564
MEM 674.007812 1750256317.8566
MEM 640.007812 1750256317.9569
MEM 662.007812 1750256318.0572
MEM 664.007812 1750256318.1575
MEM 660.007812 1750256318.2578
MEM 658.007812 1750256318.3581
MEM 656.007812 1750256318.4584
MEM 634.007812 1750256318.5587
MEM 674.007812 1750256318.6589
MEM 694.863281 1750256318.7593
MEM 704.253906 1750256318.8596
MEM 1374.253906 1750256318.9600
MEM 2046.253906 1750256319.0603
MEM 2716.253906 1750256319.1606
MEM 3386.253906 1750256319.2610
MEM 4054.253906 1750256319.3613
MEM 4724.253906 1750256319.4617
MEM 5392.253906 1750256319.5621
MEM 6062.253906 1750256319.6624
MEM 6726.253906 1750256319.7628
MEM 7396.253906 1750256319.8631
MEM 8066.253906 1750256319.9635
